End_Date,Week,weekly_vaccines,cuml_vaccines_millions,weekly_deaths,cuml_deaths,weekly_cases,cuml_cases,weekly_hospital_rate,weekly_hospital_optim,Weekly_hospital_pessimistic,weekly_hospital_med,weekly_tests
7/29/23,30,4.65,4.65,,,,,,,,,
8/5/23,31,7.52,12.17,,,,,,,,,
8/12/23,32,7.04,19.21,,,,,,,,,
8/19/23,33,11.17,30.38,,,,,,,,,
8/26/23,34,12.55,42.93,,,,,,,,,
9/2/23,35,11.61,54.54,,,,,,,,,
9/9/23,36,14.11,68.65,,,,,,,,,
9/16/23,37,14.94,83.59,,,,,,,,,
9/23/23,38,16.92,100.51,,,,,,,,,
9/30/23,39,15.78,116.29,,,,,,,,,
10/7/23,40,12.06,128.35,28,28,703,703,0.2,946.6019417,1966.019417,1456.31068,64790
10/14/23,41,8.59,136.94,36,64,870,1573,0.2,946.6019417,1966.019417,1456.31068,65360
10/21/23,42,5.22,142.16,54,118,1011,2584,0.3,1419.902913,2949.029126,2184.466019,66801
10/28/23,43,3.26,145.42,47,165,1255,3839,0.3,1419.902913,2949.029126,2184.466019,69229
11/4/23,44,2.05,147.47,62,227,2022,5861,0.5,2366.504854,4915.048544,3640.776699,77193
11/11/23,45,1.48,148.95,73,300,3654,9515,0.8,3786.407767,7864.07767,5825.242718,92301
11/18/23,46,1.68,150.63,80,380,4897,14412,0.9,4259.708738,8847.087379,6553.398058,100657
11/25/23,47,0.67,151.3,113,493,5680,20092,1.4,6626.213592,13762.13592,10194.17476,95152
12/2/23,48,1.12,152.42,157,650,8266,28358,2.1,9939.320388,20643.20388,15291.26214,117707
12/9/23,49,1.2,153.62,205,855,12365,40723,2.9,13725.72816,28507.28155,21116.50485,145284
12/16/23,50,0.76,154.38,284,1139,18576,59299,4.2,19878.64078,41286.40777,30582.52427,137785
12/23/23,51,0.82,155.2,452,1591,26906,86205,6.7,31711.16505,65861.65049,48786.40777,154501
12/31/23,52,0.16,155.36,692,2283,27860,114065,9,42597.08738,88470.87379,65533.98058,152599
1/6/24,1,0.9,156.26,903,3186,19040,133105,6.9,32657.76699,67827.6699,50242.71845,137969
1/13/24,2,0,156.26,853,4039,18082,151187,5.5,26031.5534,54065.53398,40048.54369,130403
1/20/24,3,0.16,156.42,719,4758,17297,168484,4.2,19878.64078,41286.40777,30582.52427,116068
1/27/24,4,0.34,156.76,608,5366,19434,187918,4,18932.03883,39320.38835,29126.21359,120481
2/3/24,5,0.2,156.96,533,5899,20212,208130,3.5,16565.53398,34405.33981,25485.43689,123949
2/10/24,6,0.23,157.19,454,6353,19671,227801,3.5,16565.53398,34405.33981,25485.43689,124097
2/17/24,7,0.16,157.35,455,6808,18704,246505,3.4,16092.23301,33422.3301,24757.28155,120149
2/24/24,8,0.17,157.52,405,7213,18328,264833,3.4,16092.23301,33422.3301,24757.28155,118107
3/2/24,9,0.1,157.62,390,7603,16391,281224,3.4,16092.23301,33422.3301,24757.28155,109663
3/9/24,10,0.1,157.72,402,8005,14681,295905,2.7,12779.12621,26541.26214,19660.19417,103198
3/16/24,11,0,157.72,326,8331,11638,307543,2.2,10412.62136,21626.21359,16019.41748,97623
3/23/24,12,0,157.72,253,8584,9347,316890,1.9,8992.718447,18677.18447,13834.95146,90178
3/30/24,13,0,157.72,229,8813,7843,324733,1.8,8519.417476,17694.17476,13106.79612,85737
4/6/24,14,0,157.72,197,9010,6100,330833,1.7,8046.116505,16711.16505,12378.64078,80849
4/13/24,15,0,157.72,191,9201,4465,335298,1.3,6152.912621,12779.12621,9466.019417,77018
4/20/24,16,0,157.72,157,9358,3393,338691,1,4733.009709,9830.097087,7281.553398,70912
4/27/24,17,0,157.72,107,9465,2649,341340,0.7,3313.106796,6881.067961,5097.087379,69361
5/4/24,18,0,157.72,81,9546,1890,343230,0.5,2366.504854,4915.048544,3640.776699,58895
5/11/24,19,0,157.72,95,9641,1222,344452,0.4,1893.203883,3932.038835,2912.621359,51405
5/18/24,20,0,157.72,57,9698,955,345407,0.3,1419.902913,2949.029126,2184.466019,49189
5/25/24,21,0,157.72,38,9736,792,346199,0.2,946.6019417,1966.019417,1456.31068,46554
6/1/24,22,0,157.72,32,9768,651,346850,0.2,946.6019417,1966.019417,1456.31068,38187
6/8/24,23,0,157.72,21,9789,507,347357,0.2,946.6019417,1966.019417,1456.31068,31824
6/15/24,24,0,157.72,,9789,,347357,,,,,
